season,game_date,home_team,away_team,home_score,away_score,home_win,label,neutral,elo_diff,win_pct_diff,log5_prob,pythagorean_diff,is_home
2021,2021-07-03,NY,WSH,82,79,1,1,0,21.975146312464176,0.0,0.5,0.0,1.0
2021,2021-07-03,PHX,MIN,68,99,0,0,0,-45.150192304804705,0.0,0.5,0.0,1.0
2021,2021-07-04,LV,ATL,118,95,1,1,0,115.28913397356223,0.0,0.5,0.0,1.0
2021,2021-07-04,LA,SEA,74,84,0,0,0,-122.76415393320644,0.0,0.5,0.0,1.0
2021,2021-07-05,NY,DAL,99,96,1,1,0,-1.9845846154253195,0.0,0.5,0.0,1.0
2021,2021-07-07,MIN,DAL,85,79,1,1,0,39.74567315226909,0.0,0.5,0.0,1.0
2021,2021-07-07,LV,PHX,90,99,0,0,0,124.10293570465774,0.0,0.5,0.0,1.0
2021,2021-07-07,SEA,LA,71,62,1,1,0,139.18995500982624,0.0,0.5,0.0,1.0
2021,2021-07-09,CONN,ATL,84,72,1,1,0,83.14497019130249,0.0,0.5,0.0,1.0
2021,2021-07-09,IND,NY,82,69,1,1,0,-116.57425632335594,0.0,0.5,0.0,1.0
2021,2021-07-09,PHX,SEA,85,77,1,1,0,-104.12803391151692,0.0,0.5,0.0,1.0
2021,2021-07-09,LV,MIN,67,77,0,0,0,36.04001636674411,0.0,0.5,0.0,1.0
2021,2021-07-10,CHI,WSH,85,89,0,0,0,55.59690199785223,0.0,0.5,0.0,1.0
2021,2021-07-11,DAL,LV,79,95,0,0,0,-77.50064887477583,0.0,0.5,0.0,1.0
2021,2021-07-11,NY,CONN,54,71,0,0,0,-58.019168870259364,0.0,0.5,0.0,1.0
2021,2021-07-11,ATL,IND,68,79,0,0,0,56.0237247978946,0.0,0.5,0.0,1.0
2021,2021-07-11,SEA,PHX,82,75,1,1,0,81.6013918529502,0.0,0.5,0.0,1.0
2021,2021-07-11,LA,MIN,61,86,0,0,0,-115.75903218006442,0.0,0.5,0.0,1.0
2021,2021-07-14,WNBASTARS,USA,93,85,1,1,1,0.0,0.0,0.5,0.0,0.0
2021,2021-08-12,SEA,CONN,79,57,1,1,1,16.42630320795911,0.0,0.5,0.0,0.0
2021,2021-08-15,CHI,SEA,87,85,1,1,0,-85.71609558488512,0.0,0.5,0.0,1.0
2021,2021-08-15,DAL,CONN,59,80,0,0,0,-78.34315928598448,0.0,0.5,0.0,1.0
2021,2021-08-15,LV,WSH,84,83,1,1,0,97.56332932299438,0.0,0.5,0.0,1.0
2021,2021-08-15,PHX,ATL,92,81,1,1,0,41.172028808929326,0.0,0.5,0.0,1.0
2021,2021-08-15,MIN,NY,88,78,1,1,0,75.02045174932618,0.0,0.5,0.0,1.0
2021,2021-08-15,LA,IND,75,70,1,1,0,12.512347056799854,0.0,0.5,0.0,1.0
2021,2021-08-17,CONN,MIN,72,60,1,1,0,-3.2405916391539904,0.0,0.5,0.0,1.0
2021,2021-08-17,CHI,DAL,76,80,0,0,0,48.319848244544346,0.0,0.5,0.0,1.0
2021,2021-08-17,LV,WSH,93,83,1,1,0,109.067833286741,0.0,0.5,0.0,1.0
2021,2021-08-17,PHX,IND,84,80,1,1,0,85.86492028809585,0.0,0.5,0.0,1.0
2021,2021-08-17,LA,ATL,85,80,1,1,0,-1.9598355968271335,0.0,0.5,0.0,1.0
2021,2021-08-18,NY,SEA,83,79,1,1,0,-99.6465413989024,0.0,0.5,0.0,1.0
2021,2021-08-19,CONN,MIN,82,71,1,1,0,13.520834131644278,0.0,0.5,0.0,1.0
2021,2021-08-19,PHX,WSH,77,64,1,1,0,35.92961898090857,0.0,0.5,0.0,1.0
2021,2021-08-19,LA,ATL,66,64,1,1,0,14.729840252686927,0.0,0.5,0.0,1.0
2021,2021-08-20,NY,SEA,83,99,0,0,0,-77.37415777071487,0.0,0.5,0.0,1.0
2021,2021-08-20,DAL,IND,81,83,0,0,0,77.85366855055145,0.0,0.5,0.0,1.0
2021,2021-08-21,ATL,PHX,69,84,0,0,0,-85.07293659327661,0.0,0.5,0.0,1.0
2021,2021-08-21,CHI,MIN,95,101,0,0,0,-48.933783567320006,0.0,0.5,0.0,1.0
2021,2021-08-22,NY,LA,83,86,0,0,0,28.724433966708602,0.0,0.5,0.0,1.0
2021,2021-08-22,WSH,SEA,78,85,0,0,0,-121.0631727256357,0.0,0.5,0.0,1.0
2021,2021-08-24,MIN,SEA,76,70,1,1,0,-24.63122171715031,0.0,0.5,0.0,1.0
2021,2021-08-24,ATL,CHI,79,86,0,0,0,-78.93058301746919,0.0,0.5,0.0,1.0
2021,2021-08-24,CONN,LV,76,62,1,1,0,-3.619732587358385,0.0,0.5,0.0,1.0
2021,2021-08-24,WSH,LA,78,68,1,1,0,-16.72381477713725,0.0,0.5,0.0,1.0
2021,2021-08-25,NY,PHX,79,106,0,0,0,-47.63451048959769,0.0,0.5,0.0,1.0
2021,2021-08-26,ATL,LV,71,78,0,0,0,-172.2175285014398,0.0,0.5,0.0,1.0
2021,2021-08-26,CONN,LA,76,72,1,1,0,132.413253803408,0.0,0.5,0.0,1.0
